sample_id,control,Intestinal Diseases,Lung Diseases,IBS,Thyroid Diseases,ColorectalLesions
SRR10142826,0.514,0.322,0.26,0.328,0.446,0.638
SRR10142827,0.484,0.328,0.418,0.492,0.448,0.596
SRR10142828,0.486,0.33,0.264,0.328,0.446,0.638
SRR10142829,0.474,0.326,0.402,0.334,0.428,0.618
SRR10142830,0.502,0.318,0.226,0.376,0.428,0.638
SRR10142831,0.526,0.332,0.404,0.398,0.456,0.618
SRR10142832,0.52,0.318,0.266,0.502,0.514,0.664
SRR10142833,0.524,0.312,0.438,0.424,0.474,0.594
SRR10142834,0.522,0.31,0.448,0.496,0.47,0.596
SRR10142835,0.526,0.314,0.352,0.518,0.444,0.638
SRR10142836,0.53,0.324,0.456,0.508,0.454,0.606
SRR10142837,0.53,0.304,0.402,0.344,0.44,0.618
SRR10142838,0.532,0.308,0.444,0.412,0.452,0.618
SRR10142839,0.518,0.332,0.456,0.484,0.412,0.614
SRR10142840,0.524,0.334,0.46,0.396,0.47,0.596
SRR10142841,0.524,0.318,0.322,0.328,0.424,0.666
SRR10142842,0.494,0.32,0.278,0.328,0.454,0.634
SRR10142843,0.53,0.302,0.448,0.408,0.448,0.618
SRR10142844,0.52,0.308,0.46,0.498,0.508,0.6
SRR10142845,0.518,0.306,0.46,0.328,0.404,0.63
SRR10142846,0.536,0.298,0.418,0.328,0.442,0.606
SRR10142847,0.52,0.32,0.456,0.408,0.474,0.618
SRR10142848,0.538,0.32,0.456,0.328,0.428,0.618
SRR10142849,0.512,0.316,0.304,0.328,0.452,0.664
SRR10142850,0.508,0.32,0.35,0.328,0.476,0.66
SRR10142851,0.524,0.316,0.448,0.336,0.44,0.616
SRR10142852,0.512,0.318,0.448,0.328,0.422,0.62
SRR10142853,0.494,0.32,0.264,0.484,0.444,0.66
SRR10142854,0.516,0.32,0.266,0.328,0.446,0.634
