sample_id,control,Intestinal Diseases,Lung Diseases,IBS,Thyroid Diseases,ColorectalLesions
SRR10142826,0.15429819205035122,0.010635210563170083,0.018288372005132534,0.2654290422624612,0.29306419981260856,0.25828498330627647
SRR10142827,0.0035393029190895296,0.01144366566511446,0.22961236580086458,0.2544214351491328,0.26629267631350917,0.23469055415228948
SRR10142828,0.006277659231282917,0.014138532226927113,0.04628904777939735,0.31433508854097425,0.3290018859368313,0.28995778628458724
SRR10142829,0.002963322738070478,0.011450280401290832,0.22974508771594424,0.2545684973510858,0.2664466004013898,0.23482621139221885
SRR10142830,0.057313981895539184,0.012390047142367471,0.015289197168894554,0.30459684763401307,0.3244573530617567,0.28595257309742894
SRR10142831,0.1466320168002667,0.008602747474298325,0.19141821721899752,0.20736451873742182,0.23705758243057165,0.20892491733844393
SRR10142832,0.18046003764086677,0.010243859580825779,0.029667797674183007,0.24856748798859085,0.2822801197226677,0.24878069739286585
SRR10142833,0.14619292959645233,0.008607173884016026,0.191516708481164,0.20747121492065723,0.23717955671723534,0.20903241640047493
SRR10142834,0.1434876274984828,0.008630143740924232,0.1920278067171962,0.20845164863381888,0.23781251482320132,0.20959025858637662
SRR10142835,0.1466320168002667,0.008602747474298325,0.19141821721899752,0.20736451873742182,0.23705758243057165,0.20892491733844393
SRR10142836,0.1466320168002667,0.008602747474298325,0.19141821721899752,0.20736451873742182,0.23705758243057165,0.20892491733844393
SRR10142837,0.1466320168002667,0.008602747474298325,0.19141821721899752,0.20736451873742182,0.23705758243057165,0.20892491733844393
SRR10142838,0.21120575106025877,0.00813833303956344,0.18108461351700453,0.1961700630078741,0.20575501499833612,0.19764622437696305
SRR10142839,0.12741976431919955,0.0087669880823465,0.196585040731831,0.21273116716025053,0.24158340183851645,0.2129136378678559
SRR10142840,0.14619292959645233,0.008607173884016026,0.191516708481164,0.20747121492065723,0.23717955671723534,0.20903241640047493
SRR10142841,0.15250451992715702,0.008879403527251688,0.16425804872046157,0.21403316145277107,0.24468112540609735,0.21564374096626124
SRR10142842,0.0337879513998961,0.012267329515874703,0.09430624256273795,0.2861652804687664,0.3048239998551553,0.26864919619756955
SRR10142843,0.1466320168002667,0.008602747474298325,0.19141821721899752,0.20736451873742182,0.23705758243057165,0.20892491733844393
SRR10142844,0.13973230047788787,0.008653176393518456,0.1930481700644311,0.20996952391704574,0.23844720332908417,0.21014962581803254
SRR10142845,0.12741976431919955,0.0087669880823465,0.196585040731831,0.21273116716025053,0.24158340183851645,0.2129136378678559
SRR10142846,0.21120575106025877,0.00813833303956344,0.18108461351700453,0.1961700630078741,0.20575501499833612,0.19764622437696305
SRR10142847,0.13973230047788787,0.008653176393518456,0.1930481700644311,0.20996952391704574,0.23844720332908417,0.21014962581803254
SRR10142848,0.21120575106025877,0.00813833303956344,0.18108461351700453,0.1961700630078741,0.20575501499833612,0.19764622437696305
SRR10142849,0.12977690164509526,0.009605273617679056,0.12293818095858303,0.23972431592830565,0.2646832246551407,0.23327210319519628
SRR10142850,0.11090360083284735,0.008871201797837291,0.1989218589540236,0.2214036650173392,0.24445511829005268,0.21544455510789975
SRR10142851,0.14619292959645233,0.008607173884016026,0.191516708481164,0.20747121492065723,0.23717955671723534,0.20903241640047493
SRR10142852,0.1151269771667152,0.008829061908663241,0.19797694243857894,0.2203519556639533,0.24329391016656218,0.2144211526555271
SRR10142853,0.03609042884846739,0.012925978407076058,0.04519000734925285,0.30152986690440176,0.3211903972243911,0.28307332126641077
SRR10142854,0.15114129853556896,0.010504454030338983,0.03161805067159126,0.2621656765704731,0.28946106864404286,0.25510945154798464
