sample_id,control,Intestinal Diseases,Lung Diseases,IBS,Thyroid Diseases,ColorectalLesions
SRR8417510,0.538,0.33,0.48,0.326,0.41,0.55
SRR8417511,0.562,0.324,0.48,0.414,0.44,0.592
SRR8417512,0.534,0.294,0.254,0.604,0.456,0.618
SRR8417513,0.548,0.318,0.48,0.46,0.428,0.55
SRR8417515,0.578,0.324,0.48,0.326,0.428,0.602
SRR8417516,0.562,0.308,0.48,0.428,0.462,0.55
SRR8417517,0.578,0.334,0.24,0.442,0.468,0.664
SRR8417529,0.506,0.312,0.48,0.344,0.452,0.55
SRR8417533,0.552,0.324,0.48,0.326,0.442,0.55
SRR8417534,0.562,0.372,0.48,0.326,0.442,0.55
SRR8417535,0.536,0.306,0.48,0.416,0.402,0.55
SRR8417536,0.542,0.324,0.48,0.414,0.428,0.55
SRR8417537,0.496,0.346,0.26,0.538,0.452,0.662
SRR8417538,0.528,0.32,0.48,0.458,0.444,0.55
SRR8417539,0.56,0.324,0.48,0.416,0.444,0.596
SRR8417540,0.556,0.324,0.48,0.326,0.428,0.592
SRR8417541,0.582,0.342,0.24,0.482,0.466,0.664
SRR8417542,0.538,0.324,0.48,0.396,0.422,0.602
SRR8417543,0.556,0.336,0.49,0.326,0.428,0.604
SRR8417555,0.526,0.348,0.286,0.4,0.466,0.658
SRR8417556,0.516,0.328,0.506,0.418,0.456,0.644
SRR8417557,0.58,0.324,0.254,0.326,0.414,0.646
SRR8417558,0.56,0.35,0.48,0.428,0.43,0.55
SRR8417559,0.508,0.324,0.48,0.6,0.476,0.55
SRR8417560,0.542,0.322,0.25,0.466,0.464,0.658
SRR8417561,0.53,0.33,0.48,0.416,0.444,0.552
SRR8417562,0.548,0.326,0.51,0.444,0.452,0.654
SRR8417563,0.544,0.302,0.48,0.416,0.44,0.55
SRR8417564,0.562,0.306,0.48,0.326,0.428,0.592
SRR8417565,0.562,0.294,0.48,0.432,0.438,0.55
SRR8417566,0.538,0.338,0.48,0.46,0.376,0.55
SRR8417567,0.562,0.32,0.48,0.414,0.462,0.55
SRR8417568,0.55,0.318,0.25,0.414,0.444,0.59
SRR8417569,0.524,0.294,0.48,0.45,0.394,0.55
SRR8417570,0.534,0.324,0.49,0.416,0.444,0.604
SRR8417572,0.546,0.324,0.514,0.342,0.438,0.656
SRR8417573,0.49,0.324,0.504,0.326,0.448,0.644
SRR8417574,0.504,0.3,0.484,0.326,0.406,0.606
SRR8417575,0.53,0.336,0.51,0.446,0.448,0.652
SRR8417576,0.538,0.338,0.48,0.414,0.43,0.604
SRR8417577,0.568,0.324,0.484,0.414,0.448,0.602
SRR8417578,0.55,0.322,0.506,0.324,0.448,0.652
SRR8417579,0.514,0.33,0.504,0.416,0.448,0.644
SRR8417580,0.538,0.32,0.24,0.45,0.46,0.664
SRR8417581,0.548,0.322,0.506,0.422,0.446,0.652
SRR8417582,0.506,0.35,0.282,0.436,0.436,0.658
SRR8417583,0.544,0.328,0.48,0.61,0.434,0.6
SRR8417584,0.508,0.35,0.498,0.326,0.432,0.604
SRR8417585,0.52,0.324,0.508,0.37,0.454,0.656
SRR8417586,0.516,0.322,0.25,0.604,0.44,0.59
SRR8417588,0.546,0.322,0.498,0.606,0.442,0.604
SRR8417589,0.554,0.32,0.48,0.326,0.428,0.602
SRR8417590,0.58,0.326,0.49,0.326,0.428,0.604
SRR8417591,0.534,0.316,0.48,0.396,0.45,0.602
SRR8417592,0.56,0.324,0.494,0.416,0.436,0.604
SRR8417593,0.562,0.318,0.48,0.326,0.44,0.55
SRR8417594,0.596,0.31,0.48,0.34,0.428,0.55
SRR8417595,0.528,0.332,0.48,0.466,0.444,0.55
SRR8417596,0.546,0.324,0.502,0.458,0.412,0.61
SRR8417597,0.534,0.324,0.48,0.458,0.434,0.55
SRR8417600,0.542,0.328,0.504,0.416,0.446,0.636
SRR8417601,0.578,0.336,0.24,0.482,0.466,0.664
