sample_id,ACVD,AS,BPA,CL,IBD,IGT,T2D,CI,HC,FL,ME,SC
SRR14610692,0.0033383838383838388,0.019766401755254563,0.73570997728098619,0.0072666450476805153,0.029072195812941543,0.0064630295100496339,0.00025000000000000001,0.006745635062392028,0.17960476503194731,0.0025793650793650789,0,0.0092036015809992787
SRR14610575,0.040777889923898789,0.021648429628768503,0.01921284436368734,0.080627437391320445,0.405241968817179,0.014540856431412025,0.069352099776130591,0.009995193531958239,0.29421273359797073,0.036784794411142158,0.0044614127702362998,0.0031443393562958781
SRR14610674,0.015959323009927064,0.020816634803628345,0.043528113226642635,0.21327120722439749,0.036572778137941665,0.0096287499050656932,0.037506998163664589,0.010649687071278134,0.59583223411784125,0.0072566249465226438,0.0056001984126984126,0.0033774509803921565
SRR14610584,0.01229408522334219,0.01807471882916593,0.083874314697955157,0.36271927688007222,0.040979864168787634,0.0022474747474747476,0.017274838594498042,0.0028039910296102245,0.42850798775770699,0.013765763239094104,0.016303918062426946,0.0011537667698658411
SRR14610612,0.030414128532734661,0.011935699956480007,0.018226688716004233,0.25815125500574426,0.023328477326878861,0.0042217019092019095,0.018750869778842928,0.0032088903743315504,0.61246458365448087,0.01746174729553213,0,0.0018359574497681913
SRR14610630,0.31048348271114623,0.0089130766893924795,0.15866313938469503,0.046600158562889071,0.012214790748728697,0.0033689638534839766,0.022075873658766718,0.026618425348301503,0.3597073024323158,0.032159499613135689,0.01054093567251462,0.0086543513246299612
SRR14610621,0.066994083867031054,0.033770358726241068,0.082560479918258545,0.17759346485171798,0.039974640669451521,0.015157215948776052,0.081770557034909541,0.022029397052036371,0.43999970959372492,0.01143488587006389,0.015389926355744432,0.01332528011204482
SRR14610588,0.013225918437950677,0.0064413246067657852,0.026373733572069482,0.53346169028638868,0.046212918747321086,0.0086679197994987463,0.018262764862416563,0.0038315850815850818,0.27565665741431666,0.023707998786559159,0.043125099741160106,0.0010323886639676113
SRR14610669,0.023285346808334429,0.011587678980208259,0.014059298007633921,0.45014111866282397,0.14721633174336768,0.0022135642135642135,0.027847114545092061,0.0078470140026961257,0.25901719343215684,0.041616823289407065,0.014349802864422938,0.00081871345029239765
SRR14610687,0.0068419075764276993,0.011074617977481755,0.027394776168963478,0.21809271293422924,0.14066247111946392,0.0059107636999261035,0.021996735677463231,0.0042829184704184699,0.51753239322204692,0.026027740655718844,0.0064845130714695932,0.013698449426390601
SRR14610616,0.014928540586781933,0.014943722213459056,0.024477882196922443,0.18952386049324069,0.32824959238313312,0.0035436507936507933,0.037447657111550285,0.0025314453059018275,0.35963257922119324,0.020060938975212429,0.0037712418300653596,0.00088888888888888882
SRR14610670,0.15917717688596267,0.022528813255551373,0.080585223420947524,0.063909363891444249,0.04138884054541949,0.0040614336643748413,0.16120837561619208,0.023629135686295134,0.40946949011554357,0.028778000031444293,0.0030548245614035086,0.0022093223254213965
SRR14610661,0.019935824688727163,0.015891994915988729,0.011165293834991976,0.43357959601364676,0.2360540644706246,0.001,0.038221954830776665,0.010098843822679466,0.20446688491957052,0.025054957891527417,0.0045305846114669646,0
SRR14610607,0.030090506200026325,0.02068089087555032,0.018016960443237535,0.33366937468500601,0.21755906724891463,0.0043184637000426469,0.055059735779356495,0.01344711683767243,0.27310868499891272,0.028119532707574488,0.0025876941685765214,0.0033419723551302498
SRR14610676,0.02338916009825116,0.002243107769423559,0.0071688624842649604,0.55111072858020971,0.050926923103817689,0.0020401493930905694,0.034829520656763549,0.0012878787878787879,0.28582964739079292,0.015567860023197213,0.025343003817573068,0.0002631578947368421
SRR14610577,0.0040087280366692133,0.00035714285714285714,0.0037578923269712739,0.052833619847358217,0.032213614859699452,0.010010047616044383,0.015923102589704752,0.0043223340127364895,0.8715143392230178,0.0016856452726017939,0.0021595022910812383,0.0012140310669722435
SRR14610586,0.013276466216363915,0.017357687548090032,0.14692093351265179,0.017463087050548352,0.04474350461424427,0.021613782238652787,0.011493499254368817,0.0054827713136536673,0.6336410275794514,0.0059325396825396825,0.064837033428238502,0.017237667561196976
SRR14610632,0.041609161382793428,0.017072502639259607,0.05136638945102398,0.27066954269394883,0.090574022794296369,0.0035028258778258782,0.045938258768459667,0.01536665911077003,0.44411752563523821,0.014198094811367117,0.004463804713804715,0.0011212121212121212
